dataset,k,f1,precision,recall,roc_auc,avg_precision,rho_hat,runtime_sec
cardio,4,0.37367303609341823,0.2297650130548303,1.0,0.9216836034056578,0.5257238300665431,0.329038315134294,17.709969520568848
cardio,5,0.41636582430806257,0.2641221374045801,0.9829545454545454,0.9216836034056578,0.5257238300665431,0.329038315134294,11.32188868522644
cardio,6,0.4414535666218035,0.2892416225749559,0.9318181818181818,0.9216836034056578,0.5257238300665431,0.329038315134294,11.356186151504517
cardio,7,0.4423676012461059,0.30472103004291845,0.8068181818181818,0.9216836034056578,0.5257238300665431,0.329038315134294,11.134046792984009
cardio,8,0.45255474452554745,0.3333333333333333,0.7045454545454546,0.9216836034056578,0.5257238300665431,0.329038315134294,11.208227157592773
lympho,4,0.4444444444444444,0.2857142857142857,1.0,0.9941314553990611,0.9055555555555554,0.13791955359177122,2.035543441772461
lympho,5,0.48,0.3157894736842105,1.0,0.9941314553990611,0.9055555555555554,0.13791955359177122,2.432600975036621
lympho,6,0.5217391304347826,0.35294117647058826,1.0,0.9941314553990611,0.9055555555555554,0.13791955359177122,2.015538215637207
lympho,7,0.5454545454545454,0.375,1.0,0.9941314553990611,0.9055555555555554,0.13791955359177122,2.209362745285034
lympho,8,0.5714285714285714,0.4,1.0,0.9941314553990611,0.9055555555555554,0.13791955359177122,2.022566795349121
glass,4,0.06896551724137931,0.05,0.1111111111111111,0.7046070460704608,0.08915516613936891,0.09362407438582947,3.0013372898101807
glass,5,0.07407407407407407,0.05555555555555555,0.1111111111111111,0.7046070460704608,0.08915516613936891,0.09362407438582947,2.0625016689300537
glass,6,0.07692307692307693,0.058823529411764705,0.1111111111111111,0.7046070460704608,0.08915516613936891,0.09362407438582947,2.034355640411377
glass,7,0.08,0.0625,0.1111111111111111,0.7046070460704608,0.08915516613936891,0.09362407438582947,2.454294204711914
glass,8,0.09523809523809523,0.08333333333333333,0.1111111111111111,0.7046070460704608,0.08915516613936891,0.09362407438582947,2.4074835777282715
ionosphere,4,0.6829268292682927,0.8860759493670886,0.5555555555555556,0.902716049382716,0.8854347234886926,0.21057616387485875,4.227454900741577
ionosphere,5,0.7,0.9459459459459459,0.5555555555555556,0.902716049382716,0.8854347234886926,0.21057616387485875,3.836881160736084
ionosphere,6,0.6875,1.0,0.5238095238095238,0.902716049382716,0.8854347234886926,0.21057616387485875,3.98475980758667
ionosphere,7,0.6736842105263158,1.0,0.5079365079365079,0.902716049382716,0.8854347234886926,0.21057616387485875,2.93454909324646
ionosphere,8,0.6229508196721312,1.0,0.4523809523809524,0.902716049382716,0.8854347234886926,0.21057616387485875,3.9802093505859375
letter,4,0.2098273572377158,0.12098009188361408,0.79,0.7381599999999999,0.1487548874425441,0.3206209787977944,16.58818817138672
letter,5,0.21794871794871795,0.1297709923664122,0.68,0.7381599999999999,0.1487548874425441,0.3206209787977944,16.037187337875366
letter,6,0.21333333333333335,0.13176470588235295,0.56,0.7381599999999999,0.1487548874425441,0.3206209787977944,11.087996244430542
letter,7,0.22632794457274827,0.14714714714714713,0.49,0.7381599999999999,0.1487548874425441,0.3206209787977944,16.698606729507446
