f1,auroc,auprc,dataset,combo,n_detectors
0.276540652511652,0.8888984404058384,0.3452343462117477,annthyroid,IsolationForest+INNE,2
0.39867109634551495,0.8073873449521118,0.4448181150533932,arrhythmia,IsolationForest+INNE,2
0.775974025974026,0.9205680575973464,0.8343512198793022,breastw,IsolationForest+INNE,2
0.3271375464684015,0.9204167811040923,0.5461858943716162,cardio,IsolationForest+INNE,2
0.09523809523809523,0.7159891598915988,0.12790957869168929,glass,IsolationForest+INNE,2
0.7197231833910035,0.881904761904762,0.856281572406907,ionosphere,IsolationForest+INNE,2
0.14317180616740088,0.6519600000000001,0.10842689742671491,letter,IsolationForest+INNE,2
0.34285714285714286,0.9964788732394366,0.9444444444444444,lympho,IsolationForest+INNE,2
0.18246687054026503,0.8046355960253241,0.2863698875228548,mammography,IsolationForest+INNE,2
0.2855853823595759,0.8162660127066907,0.2917819287691556,mnist,IsolationForest+INNE,2
0.1043010752688172,0.9999582761078563,0.9986940293448103,musk,IsolationForest+INNE,2
0.08547008547008547,0.6148651138307673,0.03472087824642947,optdigits,IsolationForest+INNE,2
0.09567617295308188,0.9203052557610198,0.17836751359196418,pendigits,IsolationForest+INNE,2
0.5388429752066116,0.674,0.49201653014907953,pima,IsolationForest+INNE,2
0.6250353207120656,0.7503144133043275,0.7069702004412813,satellite,IsolationForest+INNE,2
0.06173913043478261,0.9972012816606548,0.9529088526260949,satimage-2,IsolationForest+INNE,2
0.025219298245614034,0.4821481062747315,0.03579968341045915,speech,IsolationForest+INNE,2
0.09967845659163987,0.977243699345603,0.4548747281195713,thyroid,IsolationForest+INNE,2
0.11428571428571428,0.39936507936507937,0.10017966361571483,vertebral,IsolationForest+INNE,2
0.12672176308539945,0.8071977240398293,0.1885635970553171,vowels,IsolationForest+INNE,2
0.23863636363636365,0.9459783913565426,0.574064273249913,wbc,IsolationForest+INNE,2
0.3076923076923077,0.8394957983193277,0.20775069059240514,wine,IsolationForest+INNE,2
0.22253680634201586,0.8006592794110872,0.27945870581286636,annthyroid,IsolationForest+LOF,2
0.40869565217391307,0.752865441984613,0.35592885173250094,arrhythmia,IsolationForest+LOF,2
0.6828571428571428,0.9766858909118324,0.9257189953482935,breastw,IsolationForest+LOF,2
0.34234234234234234,0.9105740181268881,0.5129756955263974,cardio,IsolationForest+LOF,2
0.07547169811320754,0.7365853658536585,0.13581024410045495,glass,IsolationForest+LOF,2
0.7203389830508474,0.8952380952380953,0.8821081991440991,ionosphere,IsolationForest+LOF,2
0.2074788902291918,0.7298666666666667,0.17494714716274454,letter,IsolationForest+LOF,2
0.36363636363636365,0.9964788732394366,0.9444444444444444,lympho,IsolationForest+LOF,2
0.08240459304289091,0.8714552567271602,0.22412306661251666,mammography,IsolationForest+LOF,2
0.2461476886131679,0.8071116077895739,0.2742025493144263,mnist,IsolationForest+LOF,2
0.2664835164835165,0.9998678743415448,0.9961091309307386,musk,IsolationForest+LOF,2
0.08249899879855827,0.6651559415712593,0.042403168682733014,optdigits,IsolationForest+LOF,2
0.07643312101910828,0.9232172727481038,0.19976801776891095,pendigits,IsolationForest+LOF,2
0.5008460236886633,0.6735298507462686,0.483423791112484,pima,IsolationForest+LOF,2
0.5806323324716643,0.7319396576557183,0.6548436708867871,satellite,IsolationForest+LOF,2
0.07186234817813765,0.9915817304384577,0.5010704020813979,satimage-2,IsolationForest+LOF,2
0.028477546549835708,0.4940825325042397,0.02906914753354496,speech,IsolationForest+LOF,2
0.11495673671199011,0.9700596527223678,0.39542596671637387,thyroid,IsolationForest+LOF,2
0.14,0.4049206349206349,0.10201515044604084,vertebral,IsolationForest+LOF,2
0.1375515818431912,0.8926600284495021,0.2150817355815014,vowels,IsolationForest+LOF,2
0.3387096774193548,0.9497132186207817,0.5642595001850137,wbc,IsolationForest+LOF,2
0.3,0.7932773109243697,0.17350898055916517,wine,IsolationForest+LOF,2
0.33418460415906603,0.812405116916186,0.30544754535350765,annthyroid,IsolationForest+KNN,2
0.44541484716157204,0.821793060135029,0.4640676606623506,arrhythmia,IsolationForest+KNN,2
0.918918918918919,0.9818971691356628,0.9478741203748093,breastw,IsolationForest+KNN,2
0.396732788798133,0.9192048887668223,0.49733273849431,cardio,IsolationForest+KNN,2
0.1568627450980392,0.7609756097560977,0.11287605689080753,glass,IsolationForest+KNN,2
0.7431192660550459,0.9065255731922399,0.8907065317444671,ionosphere,IsolationForest+KNN,2
0.1987704918032787,0.7675733333333333,0.15801303329772293,letter,IsolationForest+KNN,2
0.32432432432432434,0.9917840375586855,0.8888888888888888,lympho,IsolationForest+KNN,2
0.0918877354863514,0.8683425587504138,0.2146854938404335,mammography,IsolationForest+KNN,2
0.2907425265188042,0.8194948366134807,0.3231260032904518,mnist,IsolationForest+KNN,2
0.2421972534332085,0.9996696858538621,0.9900921714389289,musk,IsolationForest+KNN,2
0.09048067860508954,0.6585603368864325,0.03878403463470639,optdigits,IsolationForest+KNN,2
0.09332934489979061,0.9196063716841196,0.21908820533636142,pendigits,IsolationForest+KNN,2
0.5502645502645502,0.7037537313432836,0.5256635666769977,pima,IsolationForest+KNN,2
0.6171354949538329,0.7497394031774501,0.6920208710359658,satellite,IsolationForest+KNN,2
0.0770065075921909,0.9972405964046667,0.8526036638864609,satimage-2,IsolationForest+KNN,2
0.0263013698630137,0.4796472583380441,0.02698799437537426,speech,IsolationForest+KNN,2
0.14715189873417722,0.9726228784703651,0.48585666242154146,thyroid,IsolationForest+KNN,2
0.06741573033707865,0.3841269841269841,0.09824928478819976,vertebral,IsolationForest+KNN,2
0.1303780964797914,0.9064153627311522,0.30806048187810336,vowels,IsolationForest+KNN,2
0.375,0.9506469254368414,0.52518984124298,wbc,IsolationForest+KNN,2
0.21621621621621623,0.7487394957983193,0.1486694928639718,wine,IsolationForest+KNN,2
0.2538655160014383,0.7090610746467905,0.21414827359638203,annthyroid,IsolationForest+HBOS,2
0.4444444444444444,0.8032658188098603,0.45741171711871376,arrhythmia,IsolationForest+HBOS,2
0.9101338432122371,0.9899449658863884,0.9763245489850858,breastw,IsolationForest+HBOS,2
0.3527054108216433,0.8994541334798132,0.5292835000437566,cardio,IsolationForest+HBOS,2
0.12962962962962962,0.7056910569105692,0.09343646235061945,glass,IsolationForest+HBOS,2
0.6265822784810127,0.7698412698412698,0.6579753856760012,ionosphere,IsolationForest+HBOS,2
0.13149522799575822,0.6013933333333333,0.07806039009067964,letter,IsolationForest+HBOS,2
0.42857142857142855,0.9988262910798122,0.976190476190476,lympho,IsolationForest+HBOS,2
0.08944742191831455,0.874211438108719,0.23965719309285424,mammography,IsolationForest+HBOS,2
0.22112649345723498,0.6602086049543676,0.14716267762702326,mnist,IsolationForest+HBOS,2
0.19246031746031747,0.9999721840719041,0.9991655362633385,musk,IsolationForest+HBOS,2
0.09323405632890903,0.8275773128043165,0.08984414227956009,optdigits,IsolationForest+HBOS,2
0.10242941562705186,0.9409968072836705,0.2562042427057461,pendigits,IsolationForest+HBOS,2
0.5709828393135725,0.7086417910447762,0.5514512740483211,pima,IsolationForest+HBOS,2
0.5852749301025163,0.7333338618216053,0.6935342761284287,satellite,IsolationForest+HBOS,2
0.09320905459387484,0.9888149553286221,0.8776590199140514,satimage-2,IsolationForest+HBOS,2
