combo,f1,auroc,auprc
IsolationForest+INNE+HBOS+KNN,0.30089030801223465,0.8192516272005097,0.45012777158582024
IsolationForest+INNE+COPOD+KNN,0.30100469376918854,0.8172588065551448,0.44665209055056215
IsolationForest+MCD+INNE+COPOD,0.3065794471024222,0.8121649463921936,0.44258751055400186
IsolationForest+MCD+INNE+HBOS,0.30554774974655624,0.8140956826068816,0.4415965359117153
INNE+HBOS+COPOD+KNN,0.2948854865786829,0.8146998310744042,0.44079411935554985
IsolationForest+HBOS+COPOD+KNN,0.2923800678999329,0.8100514869597633,0.4404831529733219
IsolationForest+MCD+COPOD+KNN,0.3039773503717999,0.8196983481840351,0.4396990696450883
IsolationForest+MCD+HBOS+KNN,0.30221237422626357,0.81866963937391,0.43788755315915934
MCD+INNE+HBOS+COPOD,0.2983987167269842,0.8067864055846133,0.4363965988484001
IsolationForest+MCD+INNE+KNN,0.310301034952907,0.8227304345587304,0.4350604734820504
IsolationForest+INNE+HBOS+LOF,0.29835145460463486,0.8155754872534008,0.43493681544300333
MCD+INNE+HBOS+KNN,0.3064053752615153,0.8202935786665445,0.43493096061299
IsolationForest+INNE+HBOS+COPOD,0.29340073721067667,0.8061703761458222,0.4339117705574089
IsolationForest+INNE+COPOD+LOF,0.297055304109966,0.8138848415860022,0.43362894871264906
IsolationForest+MCD+COPOD+LOF,0.30468729859087335,0.8150475547349064,0.43348177984253566
IsolationForest+MCD+HBOS+COPOD,0.2912366852579493,0.8010291788607987,0.4330483608233614
IsolationForest+HBOS+KNN+LOF,0.29693435860532674,0.8198893731683657,0.43238120815060765
MCD+HBOS+COPOD+KNN,0.29587590774586225,0.8089934362503896,0.4305892018783463
MCD+INNE+COPOD+KNN,0.3076923542883735,0.8191847415574078,0.43050620235381165
IsolationForest+COPOD+KNN+LOF,0.29959257863690814,0.8211601542746888,0.42904816247141225
IsolationForest+MCD+HBOS+LOF,0.3018644435052678,0.8123167056821873,0.4288619269571196
IsolationForest+HBOS+COPOD+LOF,0.2879747858325148,0.8043925123147191,0.42830934977307106
INNE+HBOS+COPOD+LOF,0.29166637732642164,0.8088509710058649,0.4231527851863656
MCD+HBOS+COPOD+LOF,0.2928943512979978,0.7987228068917862,0.4211687017346177
IsolationForest+MCD+INNE+LOF,0.306905611115273,0.8183195488076392,0.4207039650365955
IsolationForest+MCD+KNN+LOF,0.3065113024379602,0.8264727534871018,0.41921479159770497
HBOS+COPOD+KNN+LOF,0.28815856347906066,0.8113745022162585,0.41891693051819634
MCD+INNE+HBOS+LOF,0.30347786806905985,0.8129287706542132,0.4180018195167378
MCD+INNE+COPOD+LOF,0.30578708088665674,0.8140922705133419,0.41533219273009453
IsolationForest+INNE+KNN+LOF,0.303977754847952,0.8207732462854338,0.4143660992023123
INNE+HBOS+KNN+LOF,0.3024808477563171,0.8196132089384669,0.41316598417363
MCD+HBOS+KNN+LOF,0.30073641162154163,0.8113651122162558,0.41069947672326185
MCD+COPOD+KNN+LOF,0.3031235807662353,0.8175656147909515,0.4028473209807936
INNE+COPOD+KNN+LOF,0.3025057029735014,0.8178074967494701,0.39849008971305827
MCD+INNE+KNN+LOF,0.3079405513028599,0.8161539550396941,0.3918616137589455
