dataset,n_detectors,detectors,f1,precision,recall,roc_auc,runtime_sec
pima,11,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD+LUNAR,0.5168539325842697,0.518796992481203,0.5149253731343284,0.6839925373134328,5.612916469573975
satellite,2,IsolationForest+LOF,0.5806323324716643,0.4878048780487805,0.7170923379174853,0.7319396576557183,1.1315956115722656
satellite,3,IsolationForest+LOF+HBOS,0.6058492084786692,0.667652276759314,0.5545186640471512,0.736556151581155,0.94429612159729
satellite,4,IsolationForest+LOF+HBOS+COPOD,0.5735217163788592,0.6136618141097424,0.5383104125736738,0.7080184548104566,0.931053638458252
satellite,5,IsolationForest+LOF+HBOS+COPOD+VAE,0.6058473199783433,0.6749095295536791,0.5496070726915521,0.7165198957969998,30.333186149597168
satellite,6,IsolationForest+LOF+HBOS+COPOD+VAE+KNN,0.611689351481185,0.6697837521917007,0.56286836935167,0.7324954635608826,49.77904033660889
satellite,7,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD,0.6223680612523926,0.7020357803824799,0.5589390962671905,0.7394117746889252,33.822518825531006
satellite,8,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE,0.6480186480186481,0.7965616045845272,0.5461689587426326,0.7475395149192239,55.65398120880127
satellite,9,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA,0.6441176470588236,0.8027859237536656,0.537819253438114,0.7262270716107564,58.32905912399292
satellite,10,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD,0.6402366863905326,0.8050595238095238,0.5314341846758349,0.7197934340319352,46.44859552383423
satellite,11,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD+LUNAR,0.6521861777150917,0.7660702451954937,0.5677799607072691,0.7254934033498415,59.25921988487244
satimage-2,2,IsolationForest+LOF,0.07186234817813765,0.03727034120734908,1.0,0.9915817304384577,0.7621254920959473
satimage-2,3,IsolationForest+LOF+HBOS,0.15184381778741865,0.08225616921269095,0.9859154929577465,0.9929651179933755,0.9178762435913086
satimage-2,4,IsolationForest+LOF+HBOS+COPOD,0.13096351730589337,0.07014028056112225,0.9859154929577465,0.9890975300512075,1.2765824794769287
satimage-2,5,IsolationForest+LOF+HBOS+COPOD+VAE,0.14432989690721648,0.0778642936596218,0.9859154929577465,0.9949406838799721,45.358142137527466
satimage-2,6,IsolationForest+LOF+HBOS+COPOD+VAE+KNN,0.15167930660888407,0.08215962441314555,0.9859154929577465,0.9970292796556028,44.94806504249573
satimage-2,7,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD,0.185378590078329,0.10215827338129496,1.0,0.9967393334185153,28.81326913833618
satimage-2,8,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE,0.1415752741774676,0.07618025751072961,1.0,0.9971545954021408,31.24160361289978
satimage-2,9,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA,0.14549180327868852,0.07845303867403315,1.0,0.9976927159608032,35.28668999671936
satimage-2,10,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD,0.16511627906976745,0.08998732572877059,1.0,0.9974125984097186,35.062257051467896
satimage-2,11,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD+LUNAR,0.14900314795383002,0.08049886621315193,1.0,0.9971963673176534,53.32260036468506
speech,2,IsolationForest+LOF,0.028477546549835708,0.014730878186968839,0.4262295081967213,0.4940825325042397,0.9106462001800537
speech,3,IsolationForest+LOF+HBOS,0.029850746268656716,0.015540540540540541,0.3770491803278688,0.48882758620689665,0.9869644641876221
speech,4,IsolationForest+LOF+HBOS+COPOD,0.027184466019417475,0.014150943396226415,0.3442622950819672,0.4891170152628604,0.965094804763794
speech,5,IsolationForest+LOF+HBOS+COPOD+VAE,0.02574002574002574,0.013395847287340924,0.32786885245901637,0.4855172413793104,17.74808096885681
speech,6,IsolationForest+LOF+HBOS+COPOD+VAE+KNN,0.027096774193548386,0.014103425117528543,0.3442622950819672,0.48508762012436407,18.118343353271484
speech,7,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD,0.027061855670103094,0.014084507042253521,0.3442622950819672,0.48680610514414924,120.5319414138794
speech,8,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE,0.025856496444731737,0.013458950201884253,0.32786885245901637,0.485191633691351,128.48470306396484
speech,9,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA,0.02599090318388564,0.013531799729364006,0.32786885245901637,0.483016393442623,125.37279915809631
speech,10,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD,0.02599090318388564,0.013531799729364006,0.32786885245901637,0.48243753533069533,115.99087405204773
speech,11,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD+LUNAR,0.028460543337645538,0.014814814814814815,0.36065573770491804,0.48539966082532504,120.54893398284912
thyroid,2,IsolationForest+LOF,0.11460258780036968,0.060784313725490195,1.0,0.9574656507290725,0.44539523124694824
thyroid,3,IsolationForest+LOF+HBOS,0.1984216459977452,0.11083123425692695,0.946236559139785,0.9604263664448323,0.4416022300720215
thyroid,4,IsolationForest+LOF+HBOS+COPOD,0.20932878270762229,0.11704834605597965,0.989247311827957,0.9571499969311437,0.7886245250701904
thyroid,5,IsolationForest+LOF+HBOS+COPOD+VAE,0.2238993710691824,0.1267806267806268,0.956989247311828,0.957383814559239,29.226675987243652
thyroid,6,IsolationForest+LOF+HBOS+COPOD+VAE+KNN,0.2312579415501906,0.13112391930835735,0.978494623655914,0.9591374467699555,30.277848720550537
thyroid,7,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD,0.2449528936742934,0.14,0.978494623655914,0.9600025719939089,19.260987758636475
thyroid,8,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE,0.16048317515099222,0.08724202626641651,1.0,0.9661490528924701,20.148665189743042
thyroid,9,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA,0.16970802919708028,0.09272183449651047,1.0,0.9654943635338028,30.365105628967285
thyroid,10,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD,0.17206290471785385,0.09412955465587045,1.0,0.9657983264503269,31.561872959136963
thyroid,11,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD+LUNAR,0.19267015706806281,0.10672853828306264,0.989247311827957,0.9645532475807181,21.120463848114014
vertebral,2,IsolationForest+LOF,0.0851063829787234,0.0625,0.13333333333333333,0.4004761904761905,0.2724752426147461
vertebral,3,IsolationForest+LOF+HBOS,0.0761904761904762,0.05333333333333334,0.13333333333333333,0.34523809523809523,0.5290498733520508
vertebral,4,IsolationForest+LOF+HBOS+COPOD,0.039603960396039604,0.028169014084507043,0.06666666666666667,0.3276190476190476,0.26065611839294434
vertebral,5,IsolationForest+LOF+HBOS+COPOD+VAE,0.056074766355140186,0.03896103896103896,0.1,0.3196825396825397,2.0899572372436523
vertebral,6,IsolationForest+LOF+HBOS+COPOD+VAE+KNN,0.05714285714285714,0.04,0.1,0.3222222222222222,2.1604177951812744
vertebral,7,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD,0.04081632653061224,0.029411764705882353,0.06666666666666667,0.3219047619047619,2.200181245803833
vertebral,8,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE,0.07207207207207207,0.04938271604938271,0.13333333333333333,0.3441269841269841,3.046464204788208
vertebral,9,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA,0.08849557522123894,0.060240963855421686,0.16666666666666666,0.34444444444444444,2.6850879192352295
vertebral,10,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD,0.07547169811320754,0.05263157894736842,0.13333333333333333,0.35444444444444445,3.0813655853271484
