dataset,n_detectors,detectors,f1,precision,recall,roc_auc,runtime_sec
breastw,9,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA,0.9386138613861386,0.8909774436090225,0.9916317991631799,0.9912360058803573,4.0015058517456055
breastw,10,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD,0.9330708661417323,0.8810408921933085,0.9916317991631799,0.9912737004787213,5.104560852050781
breastw,11,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD+LUNAR,0.9330708661417323,0.8810408921933085,0.9916317991631799,0.9904067247163482,7.032139778137207
mnist,2,IsolationForest+LOF,0.2461476886131679,0.14312310914591575,0.8785714285714286,0.8071116077895739,1.8265283107757568
mnist,3,IsolationForest+LOF+HBOS,0.22523584905660377,0.14190193164933135,0.5457142857142857,0.7138229755178908,2.174132823944092
mnist,4,IsolationForest+LOF+HBOS+COPOD,0.3147386964180857,0.19807834441980784,0.7657142857142857,0.7797889116533184,2.104114532470703
mnist,5,IsolationForest+LOF+HBOS+COPOD+VAE,0.32424508941659336,0.20398376982663224,0.79,0.7925907990314769,37.28408932685852
mnist,6,IsolationForest+LOF+HBOS+COPOD+VAE+KNN,0.32849020846494,0.21086780210867803,0.7428571428571429,0.8133385070673206,37.22724223136902
mnist,7,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD,0.35387547649301143,0.2275326797385621,0.7957142857142857,0.8142116264150163,42.373825550079346
mnist,8,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE,0.3272129350506988,0.20244150559511698,0.8528571428571429,0.8207971689327622,47.41404390335083
mnist,9,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA,0.3272129350506988,0.20244150559511698,0.8528571428571429,0.8207971689327622,54.17535638809204
mnist,10,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD,0.32923161060978945,0.20358471423740276,0.86,0.8209037478529003,69.34811401367188
mnist,11,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD+LUNAR,0.3250068624759813,0.20115528372409106,0.8457142857142858,0.8210544069866104,69.75473260879517
vowels,2,IsolationForest+LOF,0.14792899408284024,0.07987220447284345,1.0,0.886330014224751,0.309800386428833
vowels,3,IsolationForest+LOF+HBOS,0.12563667232597622,0.0686456400742115,0.74,0.7839118065433855,0.32813334465026855
vowels,4,IsolationForest+LOF+HBOS+COPOD,0.09020217729393468,0.048903878583473864,0.58,0.7120199146514936,0.33988237380981445
vowels,5,IsolationForest+LOF+HBOS+COPOD+VAE,0.1182108626198083,0.0642361111111111,0.74,0.7460597439544807,6.698097467422485
vowels,6,IsolationForest+LOF+HBOS+COPOD+VAE+KNN,0.11764705882352941,0.06390328151986183,0.74,0.8079943100995732,12.329567432403564
vowels,7,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD,0.11802232854864433,0.06412478336221837,0.74,0.8113086770981508,8.996746301651001
vowels,8,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE,0.134185303514377,0.07291666666666667,0.84,0.8243954480796586,12.608023643493652
vowels,9,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA,0.1189710610932476,0.06468531468531469,0.74,0.7997581792318634,11.105281829833984
vowels,10,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD,0.12012987012987013,0.06537102473498234,0.74,0.7915220483641536,8.915786266326904
vowels,11,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD+LUNAR,0.12052117263843648,0.06560283687943262,0.74,0.8192603129445234,13.385712146759033
wine,2,IsolationForest+LOF,0.2553191489361702,0.16216216216216217,0.6,0.7705882352941176,0.2359461784362793
wine,3,IsolationForest+LOF+HBOS,0.2978723404255319,0.1891891891891892,0.7,0.8210084033613445,0.250518798828125
wine,4,IsolationForest+LOF+HBOS+COPOD,0.2978723404255319,0.1891891891891892,0.7,0.8420168067226891,0.24996471405029297
wine,5,IsolationForest+LOF+HBOS+COPOD+VAE,0.391304347826087,0.25,0.9,0.8512605042016806,1.1930084228515625
wine,6,IsolationForest+LOF+HBOS+COPOD+VAE+KNN,0.36363636363636365,0.23529411764705882,0.8,0.842857142857143,1.5435872077941895
wine,7,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD,0.391304347826087,0.25,0.9,0.8815126050420167,1.626138687133789
wine,8,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE,0.37735849056603776,0.23255813953488372,1.0,0.8731092436974789,1.7258546352386475
wine,9,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA,0.3829787234042553,0.24324324324324326,0.9,0.8798319327731092,2.073827028274536
wine,10,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD,0.38095238095238093,0.25,0.8,0.8798319327731092,1.7384252548217773
wine,11,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD+LUNAR,0.3333333333333333,0.21875,0.7,0.8747899159663866,2.3755908012390137
