f1,auroc,auprc,dataset,combo,n_detectors
0.38636363636363635,0.9503801520608244,0.5460664885826911,wbc,IsolationForest+INNE+LOF+KNN+HBOS+MCD+PCA,7
0.35714285714285715,0.8722689075630252,0.2598572855151802,wine,IsolationForest+INNE+LOF+KNN+HBOS+MCD+PCA,7
0.2865612648221344,0.8274448231339988,0.2861523950377308,annthyroid,IsolationForest+INNE+LOF+KNN+HBOS+MCD+VAE,7
0.45714285714285713,0.8013816925734024,0.41563994399073134,arrhythmia,IsolationForest+INNE+LOF+KNN+HBOS+MCD+VAE,7
0.9174664107485605,0.9850540917486523,0.9615870144356877,breastw,IsolationForest+INNE+LOF+KNN+HBOS+MCD+VAE,7
0.3642691415313225,0.904607250755287,0.4594916555630546,cardio,IsolationForest+INNE+LOF+KNN+HBOS+MCD+VAE,7
0.1,0.7214092140921409,0.0924072967547884,glass,IsolationForest+INNE+LOF+KNN+HBOS+MCD+VAE,7
0.6153846153846154,0.9001763668430336,0.8847596405256696,ionosphere,IsolationForest+INNE+LOF+KNN+HBOS+MCD+VAE,7
0.2222222222222222,0.7656933333333334,0.1709000778272079,letter,IsolationForest+INNE+LOF+KNN+HBOS+MCD+VAE,7
0.5,0.9894366197183099,0.8541666666666665,lympho,IsolationForest+INNE+LOF+KNN+HBOS+MCD+VAE,7
0.13169984686064318,0.8541713321924802,0.243933481167001,mammography,IsolationForest+INNE+LOF+KNN+HBOS+MCD+VAE,7
0.31535724062414455,0.7910353676455373,0.28289880956411906,mnist,IsolationForest+INNE+LOF+KNN+HBOS+MCD+VAE,7
0.7320754716981132,0.9999304601797605,0.9979637265235508,musk,IsolationForest+INNE+LOF+KNN+HBOS+MCD+VAE,7
0.05714285714285714,0.652234504540071,0.0393440081484555,optdigits,IsolationForest+INNE+LOF+KNN+HBOS+MCD+VAE,7
0.1206963249516441,0.9119854800149707,0.20853109833388972,pendigits,IsolationForest+INNE+LOF+KNN+HBOS+MCD+VAE,7
0.5330948121645797,0.6934925373134329,0.5165678033543604,pima,IsolationForest+INNE+LOF+KNN+HBOS+MCD+VAE,7
0.6144402221572639,0.7572532782276379,0.7056080230775229,satellite,IsolationForest+INNE+LOF+KNN+HBOS+MCD+VAE,7
0.13733075435203096,0.9964149867804174,0.7717046449326057,satimage-2,IsolationForest+INNE+LOF+KNN+HBOS+MCD+VAE,7
0.028515878159429683,0.48468061051441497,0.02172532016841637,speech,IsolationForest+INNE+LOF+KNN+HBOS+MCD+VAE,7
0.13154172560113153,0.9711352138116074,0.44044458738986014,thyroid,IsolationForest+INNE+LOF+KNN+HBOS+MCD+VAE,7
